endTime,artistName,trackName,msPlayed
2022-07-02 00:28,Coeo,Midnight Visions,6590
2022-07-02 00:28,Justin Bieber,Honest (feat. Don Toliver),80203
2022-07-02 03:11,Victony,All Power,192284
2022-07-02 03:12,Justin Bieber,Honest (feat. Don Toliver),42903
2022-07-02 14:57,Young Jonn,Dada (feat. Davido) [Remix],177692
2022-07-02 15:00,Nonso Amadi,Dial Me,138112
2022-07-02 15:03,Rema,Oroma Baby,209697
2022-07-02 15:06,SPINALL,Jabole,165299
2022-07-02 15:09,Rowlene,Hypnotise,215734
2022-07-02 15:13,SPINALL,PALAZZO,186001
2022-07-02 15:15,Maleek Berry,For My People (feat. Sneakbo),155973
2022-07-02 15:18,Victony,All Power,192284
2022-07-02 15:22,Justin Bieber,Honest (feat. Don Toliver),193322
2022-07-02 15:25,Victony,kolomental,196999
2022-07-02 15:28,Robinson,Ayo Girl (Fayahh Beat) [feat. Rema],165215
2022-07-02 15:31,Davido,Coolest Kid in Africa (feat. Nasty C),228559
2022-07-02 15:35,Davido,Gbagbe Oshi,206639
2022-07-02 15:38,Adekunle Gold,FYE,209998
2022-07-02 15:40,M.I.A.,Finally,76674
2022-07-02 15:43,Victony,All Power,192284
2022-07-02 15:46,Justin Bieber,Honest (feat. Don Toliver),193321
2022-07-02 15:49,Victony,kolomental,196999
2022-07-02 15:52,Robinson,Ayo Girl (Fayahh Beat) [feat. Rema],165215
2022-07-02 15:56,Davido,Coolest Kid in Africa (feat. Nasty C),228559
2022-07-02 15:59,Davido,Gbagbe Oshi,206639
2022-07-02 16:03,Adekunle Gold,FYE,209998
2022-07-02 16:05,M.I.A.,Finally,151752
2022-07-02 16:08,Lil Kesh,Don't Call Me (feat. Zinoleesky),178982
2022-07-02 16:09,Nonso Amadi,Different (With Majid Jordan),71535
2022-07-02 16:12,Young Jonn,Dada (feat. Davido) [Remix],177692
2022-07-02 16:13,Nonso Amadi,Dial Me,4195
2022-07-02 16:16,Rema,Oroma Baby,209696
2022-07-02 16:34,SPINALL,Jabole,19101
2022-07-02 16:35,Victony,All Power,4060
2022-07-02 16:45,Justin Bieber,Honest (feat. Don Toliver),18943
2022-07-02 16:45,Justin Bieber,Honest (feat. Don Toliver),1260
2022-07-02 16:45,Victony,All Power,192284
2022-07-02 16:45,Victony,kolomental,2020
2022-07-02 16:49,Victony,All Power,192284
2022-07-02 16:52,Justin Bieber,Honest (feat. Don Toliver),193321
2022-07-02 16:52,Victony,kolomental,4450
2022-07-02 16:59,Rema,Oroma Baby,209696
2022-07-02 17:01,SPINALL,Jabole,165299
2022-07-02 17:02,Geko,"Right Here (feat. Mr Eazi, Maleek Berry & Eugy)",2240
2022-07-02 17:02,SPINALL,PALAZZO,80
